company_name,location,location_type,sales,url,phone_number
"Huaxia Life Insurance Co.,Ltd.",Beijing(China),Headquarters,27978371940,www.hxlife.com,1069630312.0
"Jiangxi Provincial State-Owned Enterprise Assets Operation (Holdings) Co., Ltd.",Jiangxi(China),Headquarters,27899981877,www.jxgzkg.com.cn,79185210361.0
"Zheshang Development Group Co.,Ltd",Zhejiang(China),Headquarters,27885018271,www.zmd.com.cn,57186850618.0
"Rongsheng Petrochemical Co.,Ltd.",Zhejiang(China),Headquarters,27690137408,www.cnrspc.com,57182520189.0
Baic Motor Corporation Ltd.,Beijing(China),Headquarters,27516731761,www.baicmotor.com,1056761958.0
Cathay Fortune Corporation Limited,Shanghai(China),Headquarters,27223970770,www.cfc-group.cn,2160862141.0
"China Molybdenum Co.,Ltd.",Henan(China),Headquarters,27195585702,www.chinamoly.com,37968603993.0
"China State Construction Fifth Engineering Bureau Co., Ltd",Hunan(China),Headquarters,26963798636,www.cscec5b.com.cn,73185699888.0
"China General Technology (Group) Holding Co., Ltd.",Beijing(China),Headquarters,26913278417,www.gt.cn,
"Hna Technology Co.,Ltd.",Tianjin(China),Headquarters,26851325930,www.hna-tic.com,2258679088.0
"Hunan Valin Steel Co., Ltd.",Hunan(China),Headquarters,26837771980,www.valin.cn,73189952811.0
"China Overseas Property Group Co.,Ltd.",Guangdong(China),Headquarters,26769757436,www.coli688.com,75582826729.0
China Chengtong Holdings Group Ltd.,Beijing(China),Headquarters,26765274908,www.cctgroup.com.cn,1083673030.0
"Chemchina Petrochemical Co., Ltd.",Beijing(China),Headquarters,26656712545,www.chemchinapetro.com.cn,1082677221.0
"Beidahuang Group Co.,Ltd",Heilongjiang(China),Headquarters,26650067042,www.chinabdh.com,45155198114.0
"Yantai Guofeng Investment Holdings Group Co.,Ltd.",Shandong(China),Headquarters,26480882388,www.ytgfjt.cn,5356606831.0
Sumec Corporation Limited,Jiangsu(China),Headquarters,26385237814,hwcdn.icoremail.net,2584531968.0
Sumec Group Corporation,Jiangsu(China),Headquarters,26384683462,biuat.sumec.com,2584511888.0
China Development Bank Corporation,Beijing(China),Headquarters,26322501543,www.cdb.com.cn,1068306688.0
"Seazen Holdings Co., Ltd.",Jiangsu(China),Headquarters,26314799073,www.seazen.com.cn,2132522907.0
"Gd Power Development Co.,Ltd",Beijing(China),Headquarters,26307573407,www.600795.com.cn,1058682100.0
Anhui Conch Cement Company Limited,Anhui(China),Headquarters,26271155703,www.conch.cn,5538398603.0
"Oct Group Co., Ltd.",Guangdong(China),Headquarters,26092302572,www.chinaoct.com,75526600248.0
"Sinopec Group Jianghan Petroleum Administration Co.,Ltd.",Hubei(China),Headquarters,26083100000,,7286502051.0
"Sinopec Group Zhongyuan Petroleum Exploration Bureau Co.,Ltd.",Henan(China),Headquarters,26083100000,www.zyof.com.cn,3934823385.0
"China International Marine Containers (Group) Co.,Ltd.",Guangdong(China),Headquarters,25605325192,www.cimc.com,75526691130.0
Tcl Technology Group Corporation,Guangdong(China),Headquarters,25604490378,www.tcl.com,75533311666.0
"Gansu Provincial Highway Aviation Tourism Investment Group Co.,Ltd.",Gansu(China),Headquarters,25598375138,www.ghatg.com,9318860615.0
"Shanghai Electric Group Co.,Ltd",Shanghai(China),Headquarters,25573927944,www.shanghai-electric.com,2163215530.0
"Yunnan Construction And Investment Holding Group Co.,Ltd.",Yunnan(China),Headquarters,25522873550,www.ynjg.com,87163173720.0
Shaanxi Nonferrous Metals Holding Group Corpration Limited.,Shaanxi(China),Headquarters,25210090957,www.yousergroup.com,2988336901.0
"China Merchants Shekou Industrial Zone Holdings Co.,Ltd.",Guangdong(China),Headquarters,25127842661,www.cmsk1979.com,75526819600.0
Xi'An Maike Metal International Group Co.Ltd,Shaanxi(China),Headquarters,25008116134,www.maikegroup.com,2988830567.0
Shaanxi Construction Engineering Group Corporation Limited,Shaanxi(China),Headquarters,24945532962,www.ycpcec.com,2987016670.0
"China Grand Automotive Services Group Co., Ltd.",Shanghai(China),Headquarters,24782666893,www.chinagrandauto.com,2124032833.0
Shanxi Datong Coal Mine Group,Shanxi(China),Headquarters,24678865596,,3527013080.0
"Donghao Lansheng (Group) Co., Ltd",Shanghai(China),Headquarters,24587104336,www.ebls-group.com,2122068888.0
Xiamen C&D Corporation Limited,Fujian(China),Headquarters,24283256048,www.chinacdc.com,
"Qinghai New Energy (Group) Co., Ltd.",Qinghai(China),Headquarters,24105155769,www.qhnewenergy.com,9716304263.0
"Luxshare Precision Industry Co.,Ltd.",Guangdong(China),Headquarters,24080248649,www.luxshare-ict.com,76987892475.0
Shaanxi Coal Industry Company Limited,Shaanxi(China),Headquarters,23817513886,www.shxcoal.com,2981772581.0
China National Chemical Engineering Group Corporation Ltd.,Beijing(China),Headquarters,23778353200,www.cncec.cn,1059765729.0
Yanzhou Yankuang Energy Group Company Limited,Shandong(China),Headquarters,23774400467,www.yanzhoucoal.com.cn,5375382319.0
"Bright Food (Group) Co.,Ltd.",Shanghai(China),Headquarters,23592876152,www.brightfood.com,2152296800.0
"Shanxi Construction Engineering Group Co,Ltd.",Shaanxi(China),Headquarters,23521434914,www.sxjgkg.com,2987280109.0
"Anshan Iron And Steel Group Co.,Ltd",Liaoning(China),Headquarters,23436541401,www.ansteelgroup.com,4126726530.0
Hbis Company Limited,Hebei(China),Headquarters,23404532394,www.hbisco.com,31166770709.0
